sex;age;race;juv_fel_count;juv_misd_count;juv_other_count;priors_count;c_charge_degree;decile_score;true_class;predicted_class;error;error_type
Male;69;Other;0;0;0;0;F;1;0;0;0;TN
Male;34;African-American;0;0;0;0;F;3;1;0;1;FN
Male;24;African-American;0;0;1;4;F;4;1;0;1;FN
Male;23;African-American;0;1;0;1;F;8;0;1;1;FP
Male;43;Other;0;0;0;2;F;1;0;0;0;TN
Male;44;Other;0;0;0;0;M;1;0;0;0;TN
Male;41;Caucasian;0;0;0;14;F;6;1;0;1;FN
Male;43;Other;0;0;0;3;F;4;0;0;0;TN
Female;39;Caucasian;0;0;0;0;M;1;0;0;0;TN
Male;21;Caucasian;0;0;0;1;F;3;1;0;1;FN
Male;27;Caucasian;0;0;0;0;F;4;0;0;0;TN
Male;23;African-American;0;0;0;3;M;6;1;0;1;FN
Female;37;Caucasian;0;0;0;0;M;1;0;0;0;TN
Male;41;African-American;0;0;0;0;F;4;0;0;0;TN
Female;47;Caucasian;0;0;0;1;F;1;1;0;1;FN
Male;31;African-American;0;0;0;7;F;3;1;0;1;FN
Male;37;Hispanic;0;0;0;0;M;1;0;0;0;TN
Male;25;African-American;0;0;0;3;F;10;0;1;1;FP
Male;31;Caucasian;0;0;0;6;F;5;1;0;1;FN
Male;31;Caucasian;0;0;0;5;F;3;1;0;1;FN
Male;64;African-American;0;0;0;13;F;6;1;0;1;FN
Male;21;African-American;0;0;0;1;F;9;1;1;0;TP
Male;27;Caucasian;0;0;0;0;M;2;1;0;1;FN
Female;21;Caucasian;0;0;0;0;F;4;0;0;0;TN
Male;24;Hispanic;0;0;0;1;F;4;1;0;1;FN
Male;43;Caucasian;0;0;0;1;M;1;0;0;0;TN
Male;32;Other;0;0;0;0;M;3;0;0;0;TN
Male;27;African-American;0;0;0;8;F;3;1;0;1;FN
Female;36;Caucasian;0;0;0;3;F;3;0;0;0;TN
Male;26;African-American;0;0;1;5;F;7;1;0;1;FN
Male;33;African-American;0;0;0;0;F;10;1;1;0;TP
Male;30;Caucasian;0;0;0;9;F;9;1;1;0;TP
Male;32;African-American;0;0;0;4;F;8;1;1;0;TP
Male;55;Caucasian;0;0;0;0;F;1;0;0;0;TN
Male;49;Other;0;0;0;7;F;3;1;0;1;FN
Male;26;Caucasian;0;0;2;6;M;8;0;1;1;FP
Female;33;Caucasian;0;0;0;4;M;5;1;0;1;FN
Male;24;Caucasian;0;0;0;1;M;2;1;0;1;FN
Male;34;African-American;2;1;3;21;F;9;1;1;0;TP
Male;29;Caucasian;0;0;0;0;M;2;0;0;0;TN
Female;21;African-American;0;0;0;2;F;8;0;1;1;FP
Male;51;African-American;0;0;0;2;M;1;0;0;0;TN
Male;29;Caucasian;0;0;0;2;M;2;1;0;1;FN
Female;51;African-American;0;0;0;7;F;2;0;0;0;TN
Male;29;African-American;0;0;0;0;F;7;1;0;1;FN
Male;25;Caucasian;0;0;0;9;M;10;1;1;0;TP
Male;35;African-American;1;0;4;13;F;8;1;1;0;TP
Male;49;Caucasian;0;0;0;0;M;1;0;0;0;TN
Male;34;African-American;0;0;0;4;M;3;1;0;1;FN
Male;29;African-American;0;0;0;0;F;4;0;0;0;TN
Male;29;Caucasian;0;0;0;1;F;2;1;0;1;FN
Female;28;Other;0;0;0;0;F;2;0;0;0;TN
Male;48;Caucasian;0;0;0;20;F;6;1;0;1;FN
Female;63;Hispanic;0;0;0;1;F;1;0;0;0;TN
Male;31;African-American;0;0;1;15;F;5;1;0;1;FN
Male;24;African-American;0;0;0;2;F;4;1;0;1;FN
Male;30;Hispanic;0;0;0;0;M;7;0;0;0;TN
Male;49;African-American;0;0;0;4;M;1;0;0;0;TN
Male;53;Caucasian;0;0;0;8;F;5;0;0;0;TN
Male;35;African-American;0;0;0;5;F;3;0;0;0;TN
Male;63;African-American;0;0;0;10;M;7;1;0;1;FN
Male;27;African-American;1;1;2;15;F;10;1;1;0;TP
Male;38;Caucasian;0;0;0;4;M;2;1;0;1;FN
Male;22;African-American;0;0;1;1;F;4;1;0;1;FN
Male;22;African-American;0;1;2;2;F;10;1;1;0;TP
Male;29;African-American;0;0;0;4;F;9;1;1;0;TP
Male;62;Hispanic;0;0;0;0;M;1;0;0;0;TN
Male;27;African-American;0;1;0;6;F;6;1;0;1;FN
Male;33;Other;0;0;0;0;M;1;0;0;0;TN
Female;56;African-American;0;0;0;0;M;1;0;0;0;TN
Male;45;Hispanic;0;0;0;6;F;1;1;0;1;FN
Male;22;Hispanic;0;0;0;1;F;4;0;0;0;TN
Male;39;African-American;0;0;0;1;M;4;0;0;0;TN
Male;29;African-American;0;0;0;5;F;6;1;0;1;FN
Male;27;Caucasian;0;0;1;1;F;6;1;0;1;FN
Male;40;African-American;0;0;0;2;F;2;0;0;0;TN
Male;22;African-American;0;0;0;1;M;3;1;0;1;FN
Male;22;Caucasian;0;0;0;0;F;8;0;1;1;FP
Female;26;African-American;0;0;0;1;F;4;1;0;1;FN
Male;27;Caucasian;0;0;0;1;F;7;1;0;1;FN
Male;32;African-American;0;0;0;0;F;2;0;0;0;TN
Male;41;African-American;0;0;0;1;M;2;0;0;0;TN
Male;30;African-American;0;0;0;8;M;10;1;1;0;TP
Male;50;Other;0;0;0;0;F;1;1;0;1;FN
Male;25;African-American;1;6;1;14;F;10;1;1;0;TP
Male;20;Other;0;0;0;0;F;5;1;0;1;FN
Male;22;African-American;1;0;0;2;F;9;1;1;0;TP
Male;23;African-American;0;0;1;2;M;7;1;0;1;FN
Female;35;African-American;0;0;0;1;M;2;0;0;0;TN
Male;36;African-American;0;0;0;9;F;7;1;0;1;FN
Male;26;Caucasian;0;0;0;7;F;8;1;1;0;TP
Male;21;Other;0;0;0;1;F;6;1;0;1;FN
Male;25;Caucasian;0;0;0;9;F;8;1;1;0;TP
Male;71;African-American;0;0;0;12;M;7;0;0;0;TN
Female;20;Caucasian;0;0;0;0;F;7;0;0;0;TN
Male;39;Caucasian;0;0;0;2;F;1;1;0;1;FN
Male;66;Caucasian;0;0;0;3;F;1;0;0;0;TN
Female;54;Caucasian;0;0;0;0;M;1;0;0;0;TN
Female;44;Hispanic;0;0;0;0;M;1;0;0;0;TN
Male;19;African-American;0;0;0;1;M;4;1;0;1;FN
Male;24;African-American;0;0;0;1;F;2;0;0;0;TN
Male;30;African-American;0;0;0;1;F;2;0;0;0;TN
Female;39;Caucasian;0;0;0;0;F;1;1;0;1;FN
Male;24;Caucasian;0;1;2;8;F;6;1;0;1;FN
Male;30;Caucasian;0;0;0;0;F;4;0;0;0;TN
Male;31;Caucasian;0;0;0;0;M;5;0;0;0;TN
Female;39;Caucasian;0;0;0;1;F;4;0;0;0;TN
Male;59;African-American;0;0;0;14;F;9;1;1;0;TP
Male;43;Caucasian;0;0;0;1;F;1;0;0;0;TN
Male;21;African-American;0;0;0;3;F;9;1;1;0;TP
Male;38;Caucasian;0;0;0;5;M;4;1;0;1;FN
Male;34;Caucasian;0;0;0;0;F;5;0;0;0;TN
Male;33;African-American;0;0;0;5;F;5;1;0;1;FN
Male;37;African-American;0;0;0;3;F;2;0;0;0;TN
Male;42;Caucasian;0;0;0;1;F;2;1;0;1;FN
Male;41;African-American;0;1;0;10;F;9;1;1;0;TP
