cond_descr,cond_name,error,sex_Female,race_African-American,race_Caucasian
REG,+REG -sen -err -special,0.0,0.0,0.0,0.0
SEN,-reg +SEN -err -special,0.005654,0.0,0.0,0.0
SPECIAL,-reg -sen -err +SPECIAL,0.0,0.0,0.0,0.0
REG + SEN,+REG +SEN -err -special,0.003716,0.0,0.0,0.0
REG + ERR,+REG -sen +ERR -special,0.0,0.0,0.0,0.0
REG + SPECIAL,+REG -sen -err +SPECIAL,0.009012,0.0,0.0,0.0
SEN + ERR,-reg +SEN +ERR -special,0.0,0.0,0.0,0.0
SEN + SPECIAL,-reg +SEN -err +SPECIAL,0.0,0.0,0.0,0.0
ERR + SPECIAL,-reg -sen +ERR +SPECIAL,0.0,0.0,0.0,0.0
REG + SEN + ERR,+REG +SEN +ERR -special,0.0,0.0,0.0,0.0
REG + SEN + SPECIAL,+REG +SEN -err +SPECIAL,0.0,0.0,0.0,0.0
REG + ERR + SPECIAL,+REG -sen +ERR +SPECIAL,1.7e-05,0.0,0.0,0.0
SEN + ERR + SPECIAL,-reg +SEN +ERR +SPECIAL,0.0,0.0,0.0,0.0
REG + SEN + ERR + SPECIAL,+REG +SEN +ERR +SPECIAL,0.000194,0.0,0.0,0.0
