cond_name,cond_descr,n_clusters,silhouette_avg,error_rate_avg
+REG -sen -err -special,REG,3,0.3524,0.3743
-reg +SEN -err -special,SEN,6,1.0,0.3587
-reg -sen -err +SPECIAL,SPECIAL,2,0.3576,0.3885
+REG +SEN -err -special,REG + SEN,8,0.1684,0.3782
+REG -sen +ERR -special,REG + ERR,8,0.2263,0.5012
+REG -sen -err +SPECIAL,REG + SPECIAL,2,0.2951,0.3885
-reg +SEN +ERR -special,SEN + ERR,8,0.8372,0.4544
-reg +SEN -err +SPECIAL,SEN + SPECIAL,8,0.1582,0.3858
-reg -sen +ERR +SPECIAL,ERR + SPECIAL,6,0.1827,0.5
+REG +SEN +ERR -special,REG + SEN + ERR,8,0.1413,0.36
+REG +SEN -err +SPECIAL,REG + SEN + SPECIAL,8,0.0991,0.3829
+REG -sen +ERR +SPECIAL,REG + ERR + SPECIAL,2,0.2822,0.3895
-reg +SEN +ERR +SPECIAL,SEN + ERR + SPECIAL,8,0.1107,0.3873
+REG +SEN +ERR +SPECIAL,REG + SEN + ERR + SPECIAL,2,0.246,0.389
