age,gender,region,feat1,feat2,y_true_bin,y_pred_bin,y_true_reg,y_pred_reg
53,0,south,1.423,-0.934,0,1,55.11,58.13
40,0,south,0.093,-0.299,1,1,50.93,49.37
49,1,mid,2.282,1.552,0,0,60.6,76.71
52,0,south,1.9,0.336,0,0,60.41,64.51
58,1,mid,2.028,2.5,1,1,60.67,60.0
57,0,south,4.655,-0.57,1,0,77.05,78.54
50,0,mid,2.843,0.542,1,1,65.28,71.78
29,1,south,-0.035,-0.751,0,0,49.69,50.84
29,0,south,-0.172,2.096,1,0,51.27,51.87
51,1,south,-0.857,-0.23,0,0,45.06,46.29
40,1,south,-0.907,-1.708,1,1,44.62,46.11
52,0,mid,0.997,-0.126,1,1,59.34,50.83
48,1,south,1.605,0.361,1,1,56.26,53.0
24,1,north,-0.427,2.416,0,1,46.77,45.85
42,1,mid,1.744,0.161,1,1,58.69,59.04
60,0,south,1.601,-0.013,0,0,55.77,66.01
31,1,mid,-0.197,1.093,0,0,44.68,45.35
49,0,north,0.782,1.586,1,1,55.9,48.72
33,0,south,1.645,-0.063,1,0,56.54,56.26
44,1,mid,1.507,1.539,0,0,56.34,59.48
35,0,south,3.789,0.518,0,0,68.08,64.5
33,0,south,0.797,-0.296,1,1,51.9,51.83
34,1,north,2.49,0.578,1,1,60.18,61.16
44,0,mid,-0.248,0.029,0,0,48.96,47.16
43,1,north,2.717,-0.416,0,1,68.26,73.86
41,0,mid,2.706,1.214,0,0,64.88,65.24
66,0,south,0.776,-1.386,0,0,55.26,59.38
40,1,south,2.176,1.671,0,0,57.75,54.88
37,1,south,2.698,1.454,0,1,63.32,61.08
45,1,north,1.421,0.407,0,0,54.62,52.89
43,1,mid,1.765,-0.265,0,1,60.25,61.06
33,1,south,2.28,0.274,0,0,60.82,61.1
48,1,south,0.33,0.973,0,0,51.61,52.05
71,1,south,2.417,1.243,1,1,61.79,74.47
48,1,north,1.112,0.787,1,0,54.28,63.55
49,0,mid,1.309,0.992,0,1,53.38,48.49
41,1,south,1.368,-0.057,1,1,57.88,53.45
46,0,north,0.854,0.235,0,0,51.38,56.59
31,1,south,1.15,-1.068,0,0,53.27,52.38
40,1,north,2.463,1.264,0,1,61.6,71.39
56,0,north,-0.451,0.153,1,1,46.22,51.07
26,1,south,2.027,0.084,0,0,60.54,60.02
62,0,north,3.184,1.162,0,1,67.82,66.07
50,0,north,0.744,0.692,1,0,54.1,54.2
54,0,north,1.633,-2.816,0,1,58.44,52.54
49,0,north,0.909,0.04,0,1,54.47,51.6
55,0,south,0.561,-1.455,1,1,54.4,54.02
33,1,south,0.421,1.567,1,1,48.3,49.17
37,1,north,-0.721,2.989,1,1,47.01,45.73
21,1,mid,0.759,-0.019,0,0,51.81,51.63
35,1,mid,2.988,0.575,0,0,62.36,61.91
58,0,south,-0.893,-0.251,1,1,45.43,41.39
61,1,south,3.02,0.851,1,1,64.21,74.74
34,1,south,1.379,1.145,0,0,57.94,50.97
42,0,north,1.886,1.287,0,1,61.51,57.07
46,1,north,3.407,-0.487,0,1,62.27,66.32
54,1,south,0.786,2.072,0,1,53.67,44.04
41,0,north,1.167,-0.932,0,0,59.63,61.51
45,1,mid,2.502,0.777,0,1,64.13,67.94
46,1,mid,0.798,1.659,0,0,56.76,54.25
32,0,mid,-0.429,0.713,1,1,47.94,48.17
43,1,north,1.118,-0.439,1,1,52.6,49.33
45,0,north,0.543,-0.702,0,0,50.35,51.93
34,0,mid,1.589,-0.462,0,0,59.25,59.36
56,1,north,1.068,0.449,1,0,57.14,58.79
54,0,south,0.897,1.147,0,0,52.9,54.29
41,0,south,-1.287,-1.292,1,0,42.91,43.4
36,0,mid,0.688,0.467,0,0,53.84,55.21
34,1,south,1.892,1.11,1,1,55.84,60.42
55,1,mid,-0.655,1.058,1,1,45.91,37.64
32,1,south,1.994,0.966,1,0,63.09,65.05
21,1,north,-1.097,2.018,1,1,48.77,49.28
60,1,mid,1.543,0.988,0,0,57.38,47.4
50,1,north,2.582,1.357,0,1,66.45,70.51
42,1,north,-0.149,1.064,0,1,48.09,48.35
18,1,south,-1.09,2.293,0,0,42.81,43.2
39,0,south,2.481,-1.9,0,0,57.81,55.18
44,0,north,2.119,1.282,1,1,62.39,63.04
49,0,south,2.585,-0.261,0,1,62.06,63.02
58,1,mid,0.333,0.219,1,1,56.23,55.92
45,0,mid,0.093,-0.969,0,0,51.01,51.31
27,0,north,-0.068,-1.869,0,0,49.92,47.82
39,0,south,3.264,-0.382,1,0,62.59,72.26
50,1,south,2.968,-0.187,0,0,67.72,60.06
33,1,south,0.001,0.994,0,0,49.16,47.0
31,0,north,1.05,-1.472,1,1,54.81,51.99
52,0,mid,1.884,1.432,0,1,54.89,49.18
39,0,mid,1.405,0.272,1,1,58.76,62.7
62,0,mid,3.986,-0.248,1,0,71.79,65.53
54,1,mid,1.007,-0.209,0,1,53.71,54.62
46,0,south,-1.163,-0.787,0,0,44.26,43.32
46,1,south,1.51,-0.63,0,1,58.22,73.8
48,0,north,1.747,-0.544,1,1,60.55,62.24
34,0,south,0.66,0.006,1,1,53.39,55.37
31,0,mid,-0.141,-0.177,0,0,52.63,51.63
40,0,south,0.313,-1.414,0,1,50.97,53.01
38,0,south,2.025,-0.266,1,1,58.8,52.23
29,1,mid,-0.721,-0.393,0,0,45.35,47.14
51,0,south,-0.338,0.16,0,0,43.12,45.21
49,0,north,2.821,1.865,0,1,62.38,51.34
53,1,north,1.507,1.125,0,1,59.44,51.6
53,0,south,1.385,-0.313,0,0,57.35,53.9
26,1,south,2.253,-1.125,0,0,59.51,55.05
35,0,south,1.668,-1.415,0,0,58.93,56.78
