age,priors_count,sex,race,true_class,predicted_class,errors
29,11,Female,Caucasian,1,1,0
48,5,Male,African-American,1,0,1
52,7,Male,African-American,1,0,1
32,0,Male,Other,0,0,0
30,3,Female,Caucasian,0,1,1
29,0,Female,African-American,0,0,0
46,26,Male,Caucasian,1,1,0
30,15,Male,African-American,1,1,0
32,4,Female,African-American,1,1,0
28,0,Female,African-American,0,0,0
30,0,Male,African-American,0,0,0
24,2,Female,African-American,0,0,0
21,1,Male,Caucasian,0,0,0
33,14,Male,African-American,0,1,1
49,2,Female,Caucasian,0,0,0
35,1,Female,Caucasian,0,0,0
26,1,Male,Caucasian,0,1,1
47,1,Male,Caucasian,1,1,0
49,4,Male,Caucasian,0,1,1
32,0,Male,Other,0,0,0
23,5,Male,African-American,1,1,0
21,1,Male,African-American,0,1,1
26,4,Male,African-American,1,0,1
22,1,Male,African-American,1,1,0
22,0,Female,Caucasian,0,0,0
20,0,Male,Other,1,0,1
29,3,Male,African-American,0,1,1
30,2,Male,African-American,1,0,1
33,0,Male,African-American,1,0,1
37,11,Male,Other,0,1,1
50,12,Female,African-American,1,0,1
23,0,Male,Caucasian,0,0,0
20,0,Female,Caucasian,0,0,0
52,0,Male,African-American,1,1,0
39,13,Male,African-American,1,1,0
71,1,Male,Caucasian,0,0,0
43,3,Male,Other,0,0,0
43,2,Female,African-American,0,0,0
42,5,Female,Caucasian,1,1,0
44,1,Male,Caucasian,0,1,1
40,0,Male,Asian,0,0,0
37,2,Male,Hispanic,0,1,1
31,3,Male,Caucasian,1,1,0
37,0,Female,Other,0,0,0
34,10,Female,Caucasian,1,1,0
35,0,Male,African-American,0,0,0
29,1,Male,African-American,1,0,1
57,0,Male,Caucasian,0,0,0
39,1,Male,African-American,0,1,1
35,0,Male,Hispanic,0,0,0
20,0,Female,African-American,1,0,1
20,0,Male,African-American,0,0,0
29,0,Male,Hispanic,0,0,0
55,2,Male,Hispanic,0,0,0
65,1,Female,Caucasian,0,0,0
32,2,Male,African-American,0,1,1
34,1,Female,Caucasian,0,1,1
54,2,Male,Hispanic,0,0,0
23,2,Male,Caucasian,1,1,0
21,1,Male,African-American,0,0,0
42,7,Male,African-American,0,1,1
38,0,Male,African-American,0,1,1
35,1,Male,African-American,0,0,0
29,10,Male,Caucasian,1,1,0
21,0,Female,African-American,1,0,1
39,0,Female,African-American,1,1,0
33,2,Female,African-American,1,0,1
46,2,Male,Caucasian,1,1,0
23,2,Male,African-American,0,1,1
29,2,Male,Caucasian,0,1,1
32,2,Male,Caucasian,1,0,1
26,1,Male,African-American,1,0,1
44,0,Male,Caucasian,0,1,1
43,1,Male,Caucasian,0,0,0
55,1,Female,African-American,0,0,0
37,2,Male,Caucasian,0,1,1
53,8,Male,Caucasian,1,0,1
24,1,Male,African-American,0,0,0
31,0,Male,Hispanic,0,0,0
30,7,Male,African-American,0,0,0
51,3,Male,Caucasian,0,0,0
22,0,Male,African-American,1,1,0
39,0,Female,Other,0,0,0
42,0,Male,Caucasian,0,0,0
27,0,Male,African-American,0,0,0
23,0,Male,African-American,1,1,0
67,4,Male,African-American,0,0,0
61,0,Male,Other,0,0,0
22,0,Male,African-American,1,0,1
30,0,Female,African-American,0,0,0
67,0,Male,Hispanic,1,0,1
29,2,Male,African-American,1,0,1
33,5,Male,Caucasian,1,1,0
25,4,Male,Caucasian,0,1,1
63,23,Male,Other,1,1,0
21,0,Male,African-American,1,0,1
33,0,Female,African-American,0,1,1
23,0,Male,Caucasian,1,0,1
47,5,Male,Other,1,0,1
33,2,Male,African-American,1,0,1
24,0,Male,African-American,1,0,1
31,2,Female,Hispanic,1,0,1
25,3,Male,Hispanic,1,1,0
33,11,Male,African-American,1,1,0
65,0,Female,Caucasian,0,0,0
29,7,Male,African-American,0,1,1
40,4,Female,Hispanic,1,1,0
36,0,Male,African-American,1,0,1
21,0,Male,African-American,1,1,0
38,0,Male,African-American,1,1,0
39,5,Male,Caucasian,0,0,0
47,2,Male,Caucasian,0,0,0
63,1,Female,Hispanic,0,0,0
22,2,Male,Caucasian,1,1,0
29,2,Female,Other,1,1,0
