Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,sex_F,age,address_U,famsize_GT3,Pstatus_T,schoolsup_yes,famsup_yes,higher_yes,internet_yes,romantic_yes,G3,y_true,y_pred,signed_error,regression_error
4,4,2,2,0,4,3,4,1,1,3,6,5,6,1,18,1,1,0,1,0,1,0,0,6,6,5.6448,0.3551999999999999,0.3551999999999999
1,1,1,2,0,5,3,3,1,1,3,4,5,5,1,17,1,1,1,0,1,1,1,0,6,6,4.2909,1.7091000000000005,1.7091000000000005
1,1,1,2,3,4,3,2,2,3,3,10,7,8,1,15,1,0,1,1,0,1,1,0,10,10,6.9731,3.0269000000000004,3.0269000000000004
4,2,1,3,0,3,2,2,1,1,5,2,15,14,1,15,1,1,1,0,1,1,1,1,15,15,14.0416,0.9583999999999993,0.9583999999999993
3,3,1,2,0,4,3,2,1,2,5,4,6,10,1,16,1,1,1,0,1,1,0,0,10,10,9.2546,0.7454000000000001,0.7454000000000001
4,3,1,2,0,5,4,2,1,2,5,10,15,15,0,16,1,0,1,0,1,1,1,0,15,15,15.7185,-0.7185000000000006,0.7185000000000006
2,2,1,2,0,4,4,4,1,1,3,0,12,12,0,16,1,0,1,0,0,1,1,0,11,11,11.8539,-0.8538999999999994,0.8538999999999994
4,4,2,2,0,4,1,4,1,1,1,6,6,5,1,17,1,1,0,1,1,1,0,0,6,6,5.0994,0.9005999999999998,0.9005999999999998
3,2,1,2,0,4,2,2,1,1,1,0,16,18,0,15,1,0,0,0,1,1,1,0,19,19,18.6128,0.3872,0.3872
3,4,1,2,0,5,5,1,1,1,5,0,14,15,0,15,1,1,1,0,1,1,1,0,15,15,14.7114,0.2886000000000006,0.2886000000000006
4,4,1,2,0,3,3,3,1,2,2,0,10,8,1,15,1,1,1,0,1,1,1,0,9,9,7.5504,1.4496000000000002,1.4496000000000002
2,1,3,3,0,5,2,2,1,1,4,4,10,12,1,15,1,1,1,0,1,1,1,0,12,12,11.9312,0.0687999999999995,0.0687999999999995
4,4,1,1,0,4,3,3,1,3,5,2,14,14,0,15,1,0,1,0,1,1,1,0,14,14,14.5324,-0.5324000000000009,0.5324000000000009
4,3,2,2,0,5,4,3,1,2,3,2,10,10,0,15,1,1,1,0,1,1,1,0,11,11,9.8329,1.1670999999999996,1.1670999999999996
2,2,1,3,0,4,5,2,1,1,3,0,14,16,0,15,1,1,0,0,1,1,1,1,16,16,15.7345,0.2654999999999994,0.2654999999999994
4,4,1,1,0,4,4,4,1,2,2,4,14,14,1,16,1,1,1,0,1,1,1,0,14,14,14.3439,-0.3438999999999996,0.3438999999999996
4,4,1,3,0,3,2,3,1,2,2,6,13,14,1,16,1,1,1,0,1,1,1,0,14,14,13.8367,0.1632999999999995,0.1632999999999995
3,3,3,2,0,5,3,2,1,1,4,4,8,10,1,16,1,1,1,1,1,1,0,0,10,10,9.9749,0.0251000000000001,0.0251000000000001
3,2,1,1,3,5,5,5,2,4,5,16,6,5,0,17,1,1,1,0,1,1,1,0,5,5,4.5262,0.4737999999999998,0.4737999999999998
4,3,1,1,0,3,1,3,1,3,5,4,8,10,0,16,1,0,1,0,0,1,1,0,10,10,9.7328,0.2672000000000007,0.2672000000000007
4,3,1,2,0,4,4,1,1,1,1,0,13,14,0,15,1,1,1,0,0,1,1,0,15,15,13.4098,1.5901999999999994,1.5901999999999994
4,4,1,1,0,5,4,2,1,1,5,0,12,15,0,15,1,1,1,0,1,1,1,0,15,15,14.7043,0.2957000000000001,0.2957000000000001
4,2,1,2,0,4,5,1,1,3,5,2,15,15,0,16,1,0,1,0,0,1,1,0,16,16,15.2576,0.7424,0.7424
2,2,2,2,0,5,4,4,2,4,5,0,13,13,0,16,1,0,1,0,1,1,1,0,12,12,13.5398,-1.5397999999999996,1.5397999999999996
2,4,1,3,0,4,3,2,1,1,5,2,10,9,1,15,0,1,1,1,1,1,1,0,8,8,8.5468,-0.5467999999999993,0.5467999999999993
2,2,1,1,2,1,2,2,1,3,5,14,6,9,1,16,1,1,1,0,1,1,1,0,8,8,8.2653,-0.2652999999999998,0.2652999999999998
2,2,1,1,0,4,2,2,1,2,5,2,12,12,0,15,1,1,1,0,1,1,1,0,11,11,12.2484,-1.2484000000000002,1.2484000000000002
4,2,1,1,0,2,2,4,2,4,1,4,15,16,0,15,1,1,1,0,0,1,1,0,15,15,16.5105,-1.5105000000000004,1.5105000000000004
